2025-10-27 21:40:29,692 - INFO - Predição: TO/S05 -> Prob=0.0031, Fatal=0, Risco=BAIXO
2025-10-27 21:40:31,752 - INFO - Predição: MT/TPP -> Prob=0.1508, Fatal=0, Risco=BAIXO
2025-10-27 21:40:33,816 - INFO - Predição: GO/S11 -> Prob=0.0063, Fatal=0, Risco=BAIXO
2025-10-27 21:40:35,860 - INFO - Predição: GO/S11 -> Prob=0.0331, Fatal=0, Risco=BAIXO
2025-10-27 21:40:37,919 - INFO - Predição: MT/S05 -> Prob=0.0123, Fatal=0, Risco=BAIXO
2025-10-27 21:40:39,947 - INFO - Predição: PA/S05 -> Prob=0.2972, Fatal=1, Risco=BAIXO
2025-10-27 21:40:41,978 - INFO - Predição: GO/S05 -> Prob=0.1746, Fatal=0, Risco=BAIXO
2025-10-27 21:40:44,018 - INFO - Predição: SP/S05 -> Prob=0.1898, Fatal=1, Risco=BAIXO
2025-10-27 21:40:46,057 - INFO - Predição: SP/TPP -> Prob=0.3235, Fatal=1, Risco=MODERADO
2025-10-27 21:40:48,108 - INFO - Predição: PR/S11 -> Prob=0.0134, Fatal=0, Risco=BAIXO
2025-10-27 21:40:50,149 - INFO - Predição: SP/S05 -> Prob=0.0004, Fatal=0, Risco=BAIXO
2025-10-27 21:40:52,233 - INFO - Predição: MA/T11 -> Prob=0.0348, Fatal=0, Risco=BAIXO
2025-10-27 21:40:54,307 - INFO - Predição: GO/S11 -> Prob=0.0328, Fatal=0, Risco=BAIXO
2025-10-27 21:40:56,358 - INFO - Predição: PA/S05 -> Prob=0.0664, Fatal=0, Risco=BAIXO
2025-10-27 21:40:58,419 - INFO - Predição: MG/S11 -> Prob=0.0070, Fatal=0, Risco=BAIXO
2025-10-27 21:41:00,478 - INFO - Predição: MA/S05 -> Prob=0.0452, Fatal=0, Risco=BAIXO
2025-10-27 21:41:44,105 - INFO - API iniciada com threshold=0.18
2025-10-27 21:41:52,416 - INFO - Predição: MT/S05 -> Prob=0.7408, Fatal=1, Risco=CRÍTICO
2025-10-27 21:41:54,485 - INFO - Predição: MT/TPP -> Prob=0.1508, Fatal=0, Risco=BAIXO
2025-10-27 21:41:56,541 - INFO - Predição: GO/S11 -> Prob=0.0039, Fatal=0, Risco=BAIXO
2025-10-27 21:41:58,564 - INFO - Predição: SP/S05 -> Prob=0.0124, Fatal=0, Risco=BAIXO
2025-10-27 21:42:00,601 - INFO - Predição: TO/S05 -> Prob=0.0031, Fatal=0, Risco=BAIXO
2025-10-27 21:43:19,834 - INFO - Predição: MT/S05 -> Prob=0.7408, Fatal=1, Risco=CRÍTICO
2025-10-27 21:43:21,918 - INFO - Predição: MT/TPP -> Prob=0.1508, Fatal=0, Risco=BAIXO
2025-10-27 21:43:24,082 - INFO - Predição em lote: 20 acidentes, 4 fatais previstos, prob_media=0.1149
2025-10-27 21:43:26,144 - INFO - Predição: MT/S05 -> Prob=0.7408, Fatal=1, Risco=CRÍTICO
2025-10-27 21:43:28,203 - INFO - Predição: MT/TPP -> Prob=0.1508, Fatal=0, Risco=BAIXO
2025-10-27 21:43:30,265 - INFO - Predição: GO/S11 -> Prob=0.0039, Fatal=0, Risco=BAIXO
2025-10-27 21:43:32,329 - INFO - Predição: SP/S05 -> Prob=0.0124, Fatal=0, Risco=BAIXO
2025-10-28 21:56:45,218 - INFO - API iniciada com threshold=0.26
